Watershed,Agency,Data Type,Species ,Upstream River Access,Upstream RKM,Upstream Lat,Upstream Long,Upstream Google Earth,Downstream Access,Downstream RKM,Downstream Lat,Downstream Long,Downstream Google Earth,Location Description,has_holding,had_redd,has_carcass,Temporal Coverage,Link
Klamath,USFWS,Redd,Coho Salmon,Iron Gate Dam,309.8,41.93373079,-122.4353314,"41°56'01""N 122°26'07""W",Deliverance Camp,287.5,41.832778,-122.606944,"41°49'58""N 122°36'25""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Coho Salmon,Ash Creek,285.7,41.833611,-122.620278,"41°50'01""N 122°37'13""W",Beaver Creek riffle,261.9,41.869167,-122.816667,"41°52'09.0""N 122°49'00.0""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Coho Salmon,Beaver Creek ,261.9,41.869167,-122.816667,"41°52'09.0""N 122°49'00.0""W",Blue Heron ,234.3,41.786667,-123.030278,"41°47'12""N 123°01'49""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Coho Salmon,Blue Heron,234.3,41.786667,-123.030278,"41°47'12""N 123°01'49""W",Seiad Bar ,213.6,41.841667,-123.204722,"41°50'30""N 123°12'17""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Coho Salmon,Seiad Bar,213.6,41.841667,-123.204722,"41°50'30""N 123°12'17""W",China Point,192.4,41.8025,-123.319722,"41°48'09""N 123°19'11""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Coho Salmon,China Point,192.4,41.8025,-123.319722,"41°48'09""N 123°19'11""W",Gordons Ferry ,185,41.770556,-123.3375,"41°46'14""N 123°20'15""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Coho Salmon,Gordons Ferry,185,41.770556,-123.3375,"41°46'14""N 123°20'15""W",Indian Creek confluence ,173.8,41.787222,-123.386111,"41°47'14""N 123°23'10""W",,FALSE,TRUE,FALSE,2001-2005,Mainstem Klamath River Coho Salmon Redd Surveys 2001 to 2005
Klamath,USFWS,Redd,Fall Chinook Salmon,Iron Gate Dam,310.3,41.93373079,-122.4353314,"41°56'01""N 122°26'07""W",Shasta River,288.4,41.826944,-122.600278,"41°49'37""N 122°36'01""W",,FALSE,TRUE,FALSE,2013,Mainstem Klamath River Fall Chinook Salmon Redd Survey 2013
Klamath,USFWS,Redd,Fall Chinook Salmon,Shasta River,288.4,41.826944,-122.600278,"41°49'37""N 122°36'01""W",Beaver Creek ,261.9,41.869167,-122.816667,"41°52'09.0""N 122°49'00.0""W",,FALSE,TRUE,FALSE,2013,Mainstem Klamath River Fall Chinook Salmon Redd Survey 2013
Klamath,USFWS,Redd,Fall Chinook Salmon,Beaver Creek ,261.9,41.869167,-122.816667,"41°52'09.0""N 122°49'00.0""W",Blue Heron,234.3,41.786667,-123.030278,"41°47'12""N 123°01'49""W",,FALSE,TRUE,FALSE,2013,Mainstem Klamath River Fall Chinook Salmon Redd Survey 2013
